"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"26","Charlotte considers second solar farm to meet its climate goals ...","<a href='https://www.wfae.org/energy-environment/2023-05-30/charlotte-considers-a-2nd-solar-farm-to-meet-its-climate-goals' target='_blank'>Link to Article</a>","2023-05-30","www.wfae.org","As the start of construction nears for the city of Charlotte's first solar farm in Iredell County, the city is seeking a developer for a second solar project to help meet its climate goals.","David Boraks",""
"30","Atom Power plans $4.2M expansion in Huntersville | WFAE 90.7 ...","<a href='https://www.wfae.org/energy-environment/2023-05-09/atom-power-plans-4-2m-expansion-in-huntersville' target='_blank'>Link to Article</a>","2023-05-09","www.wfae.org","Atom Power, which makes electric vehicle charging equipment, is planning a $4.2 million expansion of its Huntersville headquarters that will create 205 jobs.","David Boraks",""
"31","Gaston County lithium mine may not start production until 2027 ...","<a href='https://www.wunc.org/2023-05-22/gaston-county-lithium-mine-may-not-start-production-until-2027' target='_blank'>Link to Article</a>","2023-05-22","www.wunc.org","Piedmont Lithium, the company that wants to build a lithium mine in northern Gaston County, says the mine won't open until 2027 at the earliest because of permitting and other delays.","David Boraks",""
"33","Shares of wood pellet maker Enviva plummet as losses widen | WUNC","<a href='https://www.wunc.org/2023-05-05/shares-of-wood-pellet-maker-enviva-plummet-amid' target='_blank'>Link to Article</a>","2023-05-05","www.wunc.org","Enviva, the world's largest maker of wood pellets with four plants in North Carolina, saw its stock price plummet this week after it canceled its dividend and told investors it expects bigger losses to come.","David Boraks",""
"34","More than half of the world's largest lakes are shrinking. Here's why ...","<a href='https://www.wfae.org/energy-environment/2023-05-20/more-than-half-of-the-worlds-largest-lakes-are-shrinking-heres-why-that-matters' target='_blank'>Link to Article</a>","2023-05-20","www.wfae.org","Human actions have caused ""significant declines"" in the amount of water stored in 53% of the planet's largest lakes and reservoirs. Climate change and overconsumption are the primary drivers.","David Boraks",""
"38","Shares of wood pellet maker Enviva plummet as losses widen ...","<a href='https://www.wfae.org/energy-environment/2023-05-05/shares-of-wood-pellet-maker-enviva-plummet-amid' target='_blank'>Link to Article</a>","2023-05-05","www.wfae.org","Enviva, the world's largest maker of wood pellets with four plants in North Carolina, saw its stock price plummet this week after it canceled its dividend and told investors it expects bigger losses to come.","David Boraks",""
"41","NC Republicans tout 'backpack funding' for education that offers ...","<a href='https://www.wunc.org/2023-04-26/nc-republicans-tout-backpack-funding-for-education-that-offers-vouchers-to-all' target='_blank'>Link to Article</a>","2023-04-26","www.wunc.org","A voucher bill that would let all North Carolina families get public money to cover private school tuition moved a step closer to reality Wednesday.","David Boraks",""
"42","Did you feel it? 3.5 magnitude earthquake rattles NC mountains ...","<a href='https://www.wfae.org/energy-environment/2023-06-04/did-you-feel-it-3-5-magnitude-earthquake-rattles-nc-mountains' target='_blank'>Link to Article</a>","2023-06-04","www.wfae.org","The U.S. Geological Survey recorded a 3.5 magnitude earthquake early Sunday morning near the town of West Canton, about 22 miles west of Asheville. Sunday's earthquake near West Canton is the fifth quake to hit the area in the past two weeks.","David Boraks",""
"43","An alleged Russian spy whale is in Sweden — and danger. Here's ...","<a href='https://www.wfae.org/2023-05-31/an-alleged-russian-spy-whale-is-in-sweden-and-danger-heres-why-his-tale-matters' target='_blank'>Link to Article</a>","2023-05-31","www.wfae.org","Hvaldimir unexpectedly headed south after several years in Norway, fueling concerns and efforts to bring him to safety. Experts say his story shines a light on how humans treat animals in general.","David Boraks",""
"49","Company behind a digital court filing system in North Carolina now ...","<a href='https://www.wunc.org/law/2023-05-24/company-behind-a-digital-court-filing-system-in-north-carolina-now-faces-a-class-action-lawsuit' target='_blank'>Link to Article</a>","2023-05-24","www.wunc.org","The system developed and being implemented by Tyler Technologies is being blamed for wrongful arrests and unlawful detentions.","David Boraks",""
"54","Child care providers worry as pandemic-era relief goes away | WUNC","<a href='https://www.wunc.org/health/2023-06-05/child-care-providers-worry-as-pandemic-era-relief-goes-away' target='_blank'>Link to Article</a>","2023-06-05","www.wunc.org","""If there's not a plan in place at schools and they have to reduce teacher salaries, it's going to be a major hit to the field,"" says Kimberly Covington, the director of a child care facility in Morrisville, N.C.","David Boraks",""
"55","Who pays for NC schools? State underfunding could shift the burden ...","<a href='https://www.wunc.org/education/2023-05-24/who-pays-nc-schools-underfunding-homeowners' target='_blank'>Link to Article</a>","2023-05-24","www.wunc.org","State funding for school employee salaries hasn’t kept up with the cost of living in cities. Wake County Schools is struggling to keep employees, and that puts pressure on the county commission to raise local taxes.","David Boraks",""
