,Article.Title,Link,Date.Published,News.Outlet,Preview,Key.Author,All.Authors
21,"Global warming could kill marine ecosystems in NC, SC, GA, FL ...",<a href='https://www.newsobserver.com/news/weather-news/article254819227.html' target='_blank'>Link to Article</a>,NA,www.newsobserver.com,"“These vast expanses of marshes we are accustomed to in the Southeast are going to disappear.”

Islands have sunk and wetlands are disappearing in Mississippi and Louisiana. Scientists worry that climate change, sea level rise and humans themselves are putting South Atlantic tidelands in danger from the North Carolina’s Outer Banks to the northern edge of Florida. 

This is Rising Tides, Sinking Future.",Adam Wagner,NA
22,NC Senate denies appointment of Cooper pick for DEQ secretary ...,<a href='https://www.newsobserver.com/news/politics-government/article251867418.html' target='_blank'>Link to Article</a>,6/3/21,www.newsobserver.com,The vote is the first time the Republican-led Senate has denied one of Gov. Cooper’s Cabinet secretaries since the approval process began.,Adam Wagner,NA
23,NC House energy bill's impact on customers remains unclear ...,<a href='https://www.newsobserver.com/news/politics-government/article252181288.html' target='_blank'>Link to Article</a>,6/18/21,www.newsobserver.com,"The bill would curb carbon emissions from Duke Energy, but does not reach North Carolina’s goal of a 70% reduction by 2030.",Adam Wagner,NA
24,Duke scientists to research wind farm wildlife protections | Raleigh ...,<a href='https://www.newsobserver.com/news/politics-government/article255001052.html' target='_blank'>Link to Article</a>,10/16/21,www.newsobserver.com,Federal and state governments have set ambitious wind energy goals. New research will try to limit turbines’ impact on wildlife.,Adam Wagner,NA
25,NC salt marshes hold carbon dioxide. What happens if they die?,<a href='https://www.gastongazette.com/story/news/2021/12/23/north-carolina-salt-marsh-carbon-dioxide-sea-levels-climate-change/6465441001/' target='_blank'>Link to Article</a>,NA,www.gastongazette.com,"As sea levels rise, salt marshes are likely to drown or be washed away. They will shift from being a tool in the fight against global warming",Adam Wagner,NA
26,House bill advances North Carolina flood resiliency efforts | Raleigh ...,<a href='https://www.newsobserver.com/news/state/north-carolina/article251816003.html' target='_blank'>Link to Article</a>,6/2/21,www.newsobserver.com,"On the first day of hurricane season, a North Carolina House Committee advanced a bill that would help communities in the path of storms.",Adam Wagner,NA
27,"NC bill could make pipeline, drinking water details secret | Raleigh ...",<a href='https://www.newsobserver.com/news/politics-government/article252123258.html' target='_blank'>Link to Article</a>,6/23/21,www.newsobserver.com,North Carolina lawmakers have proposed a bill that could shield public access to information on one of the government’s most important functions: ensuring the public has access to safe drinking water. Here’s more.,Adam Wagner,NA
28,North Carolina coast's salt marsh: Grasses holding in CO2 | Raleigh ...,<a href='https://www.newsobserver.com/news/weather-news/article254819502.html' target='_blank'>Link to Article</a>,NA,www.newsobserver.com,"The marshes protect us against climate change, but rising tides could make it worse. “We need to do everything we can to protect them, to allow them to continue to grow and keep pace with sea level rise.”",Adam Wagner,NA
29,"NC floodwaters carried pig, human waste after Florence | Raleigh ...",<a href='https://www.newsobserver.com/news/state/north-carolina/article253794063.html' target='_blank'>Link to Article</a>,9/1/21,www.newsobserver.com,"A new study from NC State and UNC linked bacteria in some samples with both human and pig waste, particularly near Goldsboro.",Adam Wagner,NA
30,"A heat standard would protect agricultural, other NC workers ...",<a href='https://www.newsobserver.com/news/state/north-carolina/article254582372.html' target='_blank'>Link to Article</a>,9/29/21,www.newsobserver.com,North Carolina does not have specific rules outlining when it is too hot to work. The federal government is moving toward a heat standard.,Adam Wagner,NA
31,Environmental groups oppose utilities on House energy bill ...,<a href='https://www.newsobserver.com/news/politics-government/article252152198.html' target='_blank'>Link to Article</a>,6/17/21,www.newsobserver.com,"The energy legislation, which has been negotiated behind closed doors, requires Duke Energy to replace some coal plants with natural gas.",Adam Wagner,NA
32,NC Senate confirms Gov. Cooper's second pick to lead DEQ ...,<a href='https://www.newsobserver.com/news/politics-government/article253706003.html' target='_blank'>Link to Article</a>,8/24/21,www.newsobserver.com,Elizabeth Biser is the first woman to serve as secretary of the N.C. Department of Environmental Quality.,Adam Wagner,NA
33,NC unveils energy legislation scaling back coal production | Raleigh ...,<a href='https://www.newsobserver.com/news/politics-government/article252128493.html' target='_blank'>Link to Article</a>,6/15/21,www.newsobserver.com,"Exclusive: North Carolina lawmakers released a draft of major energy legislation that has been hashed out behind closed doors with industry representatives, who stand to benefit from its passage.",Adam Wagner,NA
34,Environmental groups want NC to declare a climate emergency ...,<a href='https://www.newsobserver.com/news/politics-government/article255954072.html' target='_blank'>Link to Article</a>,11/19/21,www.newsobserver.com,"With parts of Eastern NC still recovering from devastating hurricanes, organizations want Cooper to prevent natural gas expansion.",Adam Wagner,NA
35,"Businesses, Republicans help shape NC renewable energy policy ...",<a href='https://www.newsobserver.com/news/business/article256402301.html' target='_blank'>Link to Article</a>,12/12/21,www.newsobserver.com,"The annual event honored businesses and Republicans who have played a role in NC’s clean energy transition, with a focus on this year’s House Bill 951.",Adam Wagner,NA
36,Committee approves Cooper NC DEQ nominee Biser confirmation ...,<a href='https://www.newsobserver.com/news/politics-government/article253528794.html' target='_blank'>Link to Article</a>,8/17/21,www.newsobserver.com,"Elizabeth Biser is a longtime lobbyist who represented DEQ, as well as environmental clients. She touted a consensus-building approach.",Adam Wagner,NA
37,Durham Police ID victims of double homicide on I-85 ramp | Raleigh ...,<a href='https://www.newsobserver.com/news/local/crime/article252988328.html' target='_blank'>Link to Article</a>,7/23/21,www.newsobserver.com,The victims of the shooting were two Durham men in their 20s.,Adam Wagner,NA
38,How did NC 12 highway get built in the Outer Banks? | Raleigh ...,<a href='https://www.newsobserver.com/news/state/north-carolina/article252948978.html' target='_blank'>Link to Article</a>,8/5/21,www.newsobserver.com,NC Highway 12 runs the length of North Carolina’s Outer Banks. It started in 1933 as the vision of a real estate developer.,Adam Wagner,NA
39,NC environmental groups angry at EPA PFAS toxicity response ...,<a href='https://www.newsobserver.com/news/politics-government/article256924882.html' target='_blank'>Link to Article</a>,12/30/21,www.newsobserver.com,The EPA says it will test many of the PFAS compounds NC groups asked it to in petition. So why are they calling its approach “tragic?”,Adam Wagner,NA
40,Coastal development endangers salt marshes vital to Southeast ...,<a href='https://www.shelbystar.com/story/news/2021/12/21/nc-sc-ga-coastal-development-marsh-erosion-sea-level-ocean/6449552001/' target='_blank'>Link to Article</a>,NA,www.shelbystar.com,Booming development and limited government oversight have made the threat of sea level rise more menacing.,Adam Wagner,NA
41,"DEQ to Chemours: Test Wilmington wells for GenX, other PFAS ...",<a href='https://www.newsobserver.com/news/politics-government/article255513036.html' target='_blank'>Link to Article</a>,11/3/21,www.newsobserver.com,The NC Department of Environmental Quality said Chemours should prepare for a much stricter GenX health advisory level.,Adam Wagner,NA
42,Endangered red wolf protected on NC's Albemarle Peninsula ...,<a href='https://www.newsobserver.com/news/state/north-carolina/article255763456.html' target='_blank'>Link to Article</a>,11/13/21,www.newsobserver.com,"The U.S. Fish and Wildlife Service estimates the wild red wolf population on NC’s Albemarle Peninsula is 15 to 17 animals, down from 120 to 130 in 2006.",Adam Wagner,NA
43,Donna Chavis explains the Principles of Environmental Justice ...,<a href='https://www.newsobserver.com/news/state/north-carolina/article255390706.html' target='_blank'>Link to Article</a>,10/29/21,www.newsobserver.com,"Donna Chavis, Robeson County resident and member of the Lumbee Tribe, was one of the organizers of The First National People of Color Environmental Leadership Summit in 1991. She explains the principles that are foundational to environmental justice.",Adam Wagner,NA
44,"NC budget pays for flood resilience measures, projects | Raleigh ...",<a href='https://www.newsobserver.com/news/politics-government/article255866176.html' target='_blank'>Link to Article</a>,11/17/21,www.newsobserver.com,North Carolina suffered billions of dollars in flood damage in recent storms. The budget Gov. Cooper says he’ll sign presents a path for future mitigation.,Adam Wagner,NA
45,"EPA's Michael Regan on PFAS plan, regulating chemicals in NC ...",<a href='https://www.newsobserver.com/news/politics-government/article255143177.html' target='_blank'>Link to Article</a>,10/21/21,www.newsobserver.com,"Exclusive: ‘Forever chemicals’ have been found in drinking water throughout North Carolina, but they can’t all be regulated at once. Here’s why.",Adam Wagner,NA
46,NC Gov. Cooper nominates former lobbyist to be DEQ secretary ...,<a href='https://www.newsobserver.com/news/politics-government/article252333198.html' target='_blank'>Link to Article</a>,6/24/21,www.newsobserver.com,Elizabeth Biser’s appointment marks the second time NC Gov. Roy Cooper will try to fill the DEQ secretary’s position left open earlier this year.,Adam Wagner,NA
