"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"1","Years past deadline, Georgia will submit plan to close loophole in ...","<a href='https://www.gpb.org/news/2023/05/03/years-past-deadline-georgia-will-submit-plan-close-loophole-in-pollution' target='_blank'>Link to Article</a>",NA,"www.gpb.org","Under pressure from the federal government, Georgia is rewriting a rule governing industrial air pollution limits to end a loophole that currently exposes communities near coal plants and other facilities to harmful pollutants.","Gautama Mehta",""
"2","Fort Valley bus manufacturer expects $1 billion in EV funding ...","<a href='https://www.macon.com/news/business/article275781266.html' target='_blank'>Link to Article</a>","2023-05-28","www.macon.com","Joe Biden wants to be the “most pro-union” president in U.S. history. His massive green investment program is largely going to anti-union states like Georgia.","Gautama Mehta",""
