"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"1","Advocates warn of backlog in toxic PFAS cleanup at military sites","<a href='https://www.ajc.com/news/advocates-warn-of-backlog-in-toxic-pfas-cleanup-at-military-sites/FGVGT7BUNJH2PIWNMTZLGQ6PQU/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","The cost of cleaning up toxic “forever chemicals” at current and former military sites across the nation is rising by billions of dollars and environmental advocates say it could take the Pentagon decades to clean up the contamination because its remediation budget isn’t keeping pace.","Meris Lutz",""
"2","Bulk purchase solar program opens to Gwinnett property owners","<a href='https://www.ajc.com/news/georgia-news/bulk-purchase-solar-program-opens-to-gwinnett-property-owners/FZICOMCQR5GXDBFBHQ375HYBLY/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","A new program launched this week for Gwinnett residents, businesses and nonprofits aims to make it cheaper to access the benefits of rooftop solar by pooling resources to take advantage of new federal incentives.","Meris Lutz",""
"3","How the new climate law can help you use less energy and save ...","<a href='https://www.ajc.com/news/how-the-new-climate-law-can-help-you-use-less-energy-and-save-money/MGJG7FM2IJFLPMCUDGYGUDZ2LY/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Georgia consumers looking to make home improvements to save on energy bills have a menu of new and expanded tax credits to choose from under the new federal climate and health care law.","Meris Lutz",""
"4","Why Georgia peach crop is in short supply: Wiped out by hot winter ...","<a href='https://www.ajc.com/news/georgias-record-warm-winter-and-a-march-freeze-ruins-peach-season/IVGQH3FN4RECFB5VHCDPINR54U/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Georgia peaches will be missing from most produce stands this year. Peach farmers across Middle Georgia say their crop has been all but wiped out by an unusually warm winter, which caused fruit development earlier than normal, followed by a brutal cold snap in March that killed the nascent buds.","Meris Lutz",""
