ID,Time Started,Time Finished,Manufacturer,OS,Audience,Country,Area,County,City,Provider,Gender,Age,Year Of Birth,How often do you hear about inflation in the media?,How often do you hear about COVID-19 in the media?,How often do you hear about climate change in the media?,How often do you hear about border security in the media?,How often do you hear about gun policies in the media?,How often do you hear about abortion in the media?,How often do you hear about Ukraine in the media?,Marital Status,Number of children,Education,Employment Status,Career,Race,Income,Spoken Languages,Organization Role,Number of Employees,Residential Postal Code,Location Postal Code,US Census Region,US Census Division,US Congressional District,DMA Code,DMA Name,Weight,
1481813555,2022-11-29 16:35:47,2022-11-29 16:36:07,Unknown,Web,Audience 1,US,Georgia,"Candler, Georgia, United States",Metter,Unknown,male,35 - 44,1984,At least once a week,Several times a year,At least once a month,At least once a week,Several times a year,At least once a week,At least once a week,single,zero,high_school,unemployed_looking,construction,asian,lower_ii,en,foreman,two_to_five,30421 US,30439,South,South Atlantic,12,507,Savannah,0.63,
-1630633455,2022-12-01 18:36:30,2022-12-01 18:36:56,Unknown,Android,Audience 1,US,Georgia,"Brantley, Georgia, United States",Nahunta,Unknown,female,25 - 34,1988,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,divorced,one,high_school,employed_for_wages,other,white,lower_i,en,other_non_management,fivehundrendsone_to_thousand,31542 US,31553,South,South Atlantic,1,561,Jacksonville,0.42,
-1094728229,2022-11-28 16:30:08,2022-11-28 16:30:32,Unknown,iOS,Audience 1,US,Georgia,"Rockdale, Georgia, United States",Conyers,Unknown,male,16 - 17,2005,At least once a week,At least once a month,At least once a month,Several times a year,At least once a month,At least once a week,At least once a month,single,two,middle_school,student,other,black,prefer_not_to_say,en,prefer_not_to_say,do_not_work,30012 US,30094,South,South Atlantic,4,524,Atlanta,2.37,
-621566884,2022-12-05 17:17:27,2022-12-05 17:17:59,Apple,iOS,Audience 1,US,Georgia,"Muscogee, Georgia, United States",Columbus,Unknown,female,25 - 34,1997,Several times a year,At least once a week,Several times a year,Several times a year,Several times a year,At least once a month,Several times a year,single,one,high_school,unemployed_not_looking,agriculture_forestry_fishing_or_hunting,white,middle_i,en,supervisor,six_to_ten,31909 US,31903,South,South Atlantic,2,522,"Columbus, GA (Opelika, AL)",0.85,
-1637335833,2022-11-28 17:04:09,2022-11-28 17:04:31,Apple,iOS,Audience 1,US,Georgia,"Camden, Georgia, United States",Kingsland,Unknown,female,18 - 24,1999,At least once a month,At least once a month,Once a year or less,At least once a month,Several times a year,At least once a week,At least once a week,living_with_partner,zero,postgraduate,employed_for_wages,legal_services,white,middle_i,en,administrative_clerical,two_to_five,31548 US,31548,South,South Atlantic,1,561,Jacksonville,0.44,
1656161604,2022-12-01 20:13:38,2022-12-01 20:14:16,Unknown,Android,Audience 1,US,Georgia,"Richmond, Georgia, United States",Hephzibah,Unknown,male,25 - 34,1992,At least once a month,At least once a week,At least once a month,Several times a year,At least once a month,At least once a week,Several times a year,married,zero,high_school,employed_for_wages,other,black,lower_i,en,faculty_staff,twohundrendfiftyone_to_fivehundrends,30815 US,30815,South,South Atlantic,12,520,Augusta-Aiken,0.77,
1774718636,2022-11-30 20:30:30,2022-11-30 20:31:00,Unknown,iOS,Audience 1,US,Georgia,"Worth, Georgia, United States",Sylvester,Unknown,male,18 - 24,1999,At least once a month,At least once a week,At least once a month,Once a year or less,At least once a month,At least once a month,Once a year or less,single,zero,high_school,employed_for_wages,software,black,lower_i,en,other_non_management,twentysix_to_fifty,39813 US,31791,South,South Atlantic,8,525,"Albany, GA",0.65,
1499607763,2022-12-05 21:30:22,2022-12-05 21:30:39,Unknown,Web,Audience 1,US,Georgia,"Muscogee, Georgia, United States",Columbus,Unknown,male,45 - 54,1977,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,married,two,university,employed_for_wages,marketing_sales,black,lower_i,en,prefer_not_to_say,six_to_ten,31906 US,31903,South,South Atlantic,2,522,"Columbus, GA (Opelika, AL)",1.08,
382949565,2022-11-28 15:58:28,2022-11-28 15:59:05,Unknown,iOS,Audience 1,US,Georgia,"Fulton, Georgia, United States",Fairburn,Unknown,female,45 - 54,1974,At least once a week,At least once a week,At least once a week,Once a year or less,At least once a month,At least once a week,At least once a month,single,one,university,self_employed,hotel_and_food_services,black,lower_ii,en,owner_partner,six_to_ten,30349 US,30213,South,South Atlantic,13,524,Atlanta,0.72,
970703213,2022-11-29 11:28:46,2022-11-29 11:29:12,Apple,iOS,Audience 1,US,Georgia,"Burke, Georgia, United States",Waynesboro,Unknown,male,18 - 24,2002,At least once a week,At least once a week,Never,Never,At least once a week,At least once a week,At least once a week,single,zero,vocational_technical_college,employed_for_wages,construction,white,lower_ii,en,supply_manager,fiftyone_to_hundrend,30830 US,30830,South,South Atlantic,12,520,Augusta-Aiken,0.65,
