ID,Time Started,Time Finished,Manufacturer,OS,Audience,Country,Area,County,City,Provider,Gender,Age,Year Of Birth,How often do you hear about inflation in the media?,How often do you hear about COVID-19 in the media?,How often do you hear about climate change in the media?,How often do you hear about border security in the media?,How often do you hear about gun policies in the media?,How often do you hear about abortion in the media?,How often do you hear about Ukraine in the media?,Marital Status,Number of children,Education,Employment Status,Career,Race,Income,Spoken Languages,Organization Role,Number of Employees,Residential Postal Code,Location Postal Code,US Census Region,US Census Division,US Congressional District,DMA Code,DMA Name,Weight,
32114696,2022-11-28 19:08:39,2022-11-28 19:09:11,Unknown,Web,Audience 1,US,North Carolina,"Brunswick, North Carolina, United States",Southport,Unknown,female,35 - 44,1981,At least once a week,At least once a week,At least once a month,At least once a month,At least once a week,At least once a week,At least once a week,single,zero,university,unemployed_looking,finance_and_insurance,black,lower_i,en,administrative_clerical,twohundrendfiftyone_to_fivehundrends,28430 US,28461,South,South Atlantic,7,550,Wilmington,0.55,
1779964682,2022-11-30 00:45:21,2022-11-30 00:45:50,Unknown,iOS,Audience 1,US,North Carolina,"Brunswick, North Carolina, United States",Oak Island,Unknown,female,> 54,1958,Never,At least once a month,At least once a month,Several times a year,At least once a month,At least once a month,At least once a month,married,one,postgraduate,retired,education,white,lower_ii,en,not_work,do_not_work,28465 US,28465,South,South Atlantic,7,550,Wilmington,2.76,
2063659396,2022-11-28 16:02:25,2022-11-28 16:03:07,Unknown,iOS,Audience 1,US,North Carolina,"Gaston, North Carolina, United States",Cherryville,Unknown,female,45 - 54,1974,At least once a week,At least once a month,At least once a month,Never,At least once a week,At least once a month,At least once a week,divorced,zero,high_school,employed_for_wages,hotel_and_food_services,white,lower_ii,en,supervisor,twentysix_to_fifty,28021 US,28021,South,South Atlantic,10,517,Charlotte,0.7,
1118532285,2022-11-28 17:46:20,2022-11-28 17:46:54,Unknown,iOS,Audience 1,US,North Carolina,"Carteret, North Carolina, United States",Morehead City,Unknown,female,25 - 34,1995,Several times a year,At least once a week,At least once a week,Several times a year,At least once a week,At least once a week,Several times a year,married,zero,high_school,self_employed,software,white,lower_i,en,supervisor,six_to_ten,28570 US,28557,South,South Atlantic,3,545,Greenville-N.Bern-Washngtn,0.84,
838828999,2022-11-28 17:28:18,2022-11-28 17:28:39,Unknown,iOS,Audience 1,US,North Carolina,"Cumberland, North Carolina, United States",Godwin,Unknown,male,18 - 24,2004,At least once a week,At least once a week,At least once a month,At least once a month,At least once a month,At least once a month,At least once a week,single,zero,university,unemployed_looking,other,other,lower_ii,en,not_work,do_not_work,28318 US,28344,South,South Atlantic,8,560,Raleigh-Durham (Fayetvlle),2.08,
779203579,2022-11-28 19:03:40,2022-11-28 19:04:11,Unknown,Web,Audience 1,US,North Carolina,"Watauga, North Carolina, United States",Boone,Unknown,female,25 - 34,1990,Several times a year,At least once a month,Never,Several times a year,At least once a month,At least once a week,At least once a month,separated,one,university,retired,homemaker,asian,middle_ii,en,prefer_not_to_say,do_not_work,28607 US,28607,South,South Atlantic,5,517,Charlotte,0.57,
-738412067,2022-12-05 02:48:07,2022-12-05 02:48:42,Unknown,Web,Audience 1,US,North Carolina,"New Hanover, North Carolina, United States",Wilmington,Unknown,male,18 - 24,2002,Several times a year,At least once a week,At least once a month,At least once a week,Several times a year,Several times a year,At least once a week,single,zero,university,student,broadcasting,hispanic,lower_i,en,other_non_management,do_not_work,,28412,South,South Atlantic,7,550,Wilmington,0.58,
949684060,2022-11-29 00:58:06,2022-11-29 00:58:16,Unknown,Web,Audience 1,US,North Carolina,"Rockingham, North Carolina, United States",Reidsville,Unknown,female,25 - 34,1992,At least once a week,Never,Never,Never,Never,Never,Never,married,one,vocational_technical_college,employed_for_wages,manufacturing_other,arab,lower_ii,en,administrative_clerical,twentysix_to_fifty,27301 US,27320,South,South Atlantic,6,518,Greensboro-H.Point-W.Salem,0.57,
-995571959,2022-11-28 16:21:18,2022-11-28 16:21:40,Unknown,Android,Audience 1,US,North Carolina,"Catawba, North Carolina, United States",Maiden,Unknown,female,35 - 44,1979,Never,At least once a month,At least once a week,At least once a week,Never,Never,Never,single,zero,university,self_employed,personal_services,white,lower_i,en,not_work,one,28650 US,28650,South,South Atlantic,10,517,Charlotte,0.55,
2081886112,2022-11-29 02:53:36,2022-11-29 02:53:54,Unknown,iOS,Audience 1,US,North Carolina,"Stokes, North Carolina, United States",King,Unknown,male,16 - 17,2005,At least once a week,At least once a week,Several times a year,Once a year or less,At least once a month,At least once a month,At least once a week,single,zero,high_school,unemployed_looking,other,white,lower_i,en,not_work,do_not_work,27019 US,27021,South,South Atlantic,5,518,Greensboro-H.Point-W.Salem,2.08,
