"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"18","NC civil rights groups ask EPA to block biogas permits | Raleigh ...","<a href='https://www.newsobserver.com/news/politics-government/article254582542.html' target='_blank'>Link to Article</a>","2021-09-29","www.newsobserver.com","Complaint alleges that DEQ’s environmental justice review for water quality permits was a “paper exercise.” Smithfield officials say it cuts down on greenhouse gases.","Adam Wagner",""
"19","Cooper moves to advance NC offshore wind energy with target ...","<a href='https://www.newsobserver.com/news/politics-government/article251986733.html' target='_blank'>Link to Article</a>","2021-06-09","www.newsobserver.com","The federal government has leased a wind site off North Carolina’s coast and is showing interest in leasing a pair of Southeastern NC sites.","Adam Wagner",""
"20","Unspent Florence relief funds going to homes, infrastructure ...","<a href='https://www.newsobserver.com/news/politics-government/article254622737.html' target='_blank'>Link to Article</a>","2021-09-30","www.newsobserver.com","The NC General Assembly gave state agencies $942.4 million to help recover from the storm. About $159.7 million remains unspent.","Adam Wagner",""
"21","Global warming could kill marine ecosystems in NC, SC, GA, FL ...","<a href='https://www.newsobserver.com/news/weather-news/article254819227.html' target='_blank'>Link to Article</a>",NA,"www.newsobserver.com","“These vast expanses of marshes we are accustomed to in the Southeast are going to disappear.”

Islands have sunk and wetlands are disappearing in Mississippi and Louisiana. Scientists worry that climate change, sea level rise and humans themselves are putting South Atlantic tidelands in danger from the North Carolina’s Outer Banks to the northern edge of Florida. 

This is Rising Tides, Sinking Future.","Adam Wagner",""
"22","NC Senate denies appointment of Cooper pick for DEQ secretary ...","<a href='https://www.newsobserver.com/news/politics-government/article251867418.html' target='_blank'>Link to Article</a>","2021-06-03","www.newsobserver.com","The vote is the first time the Republican-led Senate has denied one of Gov. Cooper’s Cabinet secretaries since the approval process began.","Adam Wagner",""
"23","NC House energy bill's impact on customers remains unclear ...","<a href='https://www.newsobserver.com/news/politics-government/article252181288.html' target='_blank'>Link to Article</a>","2021-06-18","www.newsobserver.com","The bill would curb carbon emissions from Duke Energy, but does not reach North Carolina’s goal of a 70% reduction by 2030.","Adam Wagner",""
"24","Duke scientists to research wind farm wildlife protections | Raleigh ...","<a href='https://www.newsobserver.com/news/politics-government/article255001052.html' target='_blank'>Link to Article</a>","2021-10-16","www.newsobserver.com","Federal and state governments have set ambitious wind energy goals. New research will try to limit turbines’ impact on wildlife.","Adam Wagner",""
"25","NC salt marshes hold carbon dioxide. What happens if they die?","<a href='https://www.gastongazette.com/story/news/2021/12/23/north-carolina-salt-marsh-carbon-dioxide-sea-levels-climate-change/6465441001/' target='_blank'>Link to Article</a>",NA,"www.gastongazette.com","As sea levels rise, salt marshes are likely to drown or be washed away. They will shift from being a tool in the fight against global warming","Adam Wagner",""
"26","House bill advances North Carolina flood resiliency efforts | Raleigh ...","<a href='https://www.newsobserver.com/news/state/north-carolina/article251816003.html' target='_blank'>Link to Article</a>","2021-06-02","www.newsobserver.com","On the first day of hurricane season, a North Carolina House Committee advanced a bill that would help communities in the path of storms.","Adam Wagner",""
"27","NC bill could make pipeline, drinking water details secret | Raleigh ...","<a href='https://www.newsobserver.com/news/politics-government/article252123258.html' target='_blank'>Link to Article</a>","2021-06-23","www.newsobserver.com","North Carolina lawmakers have proposed a bill that could shield public access to information on one of the government’s most important functions: ensuring the public has access to safe drinking water. Here’s more.","Adam Wagner",""
"28","North Carolina coast's salt marsh: Grasses holding in CO2 | Raleigh ...","<a href='https://www.newsobserver.com/news/weather-news/article254819502.html' target='_blank'>Link to Article</a>",NA,"www.newsobserver.com","The marshes protect us against climate change, but rising tides could make it worse. “We need to do everything we can to protect them, to allow them to continue to grow and keep pace with sea level rise.”","Adam Wagner",""
"29","NC floodwaters carried pig, human waste after Florence | Raleigh ...","<a href='https://www.newsobserver.com/news/state/north-carolina/article253794063.html' target='_blank'>Link to Article</a>","2021-09-01","www.newsobserver.com","A new study from NC State and UNC linked bacteria in some samples with both human and pig waste, particularly near Goldsboro.","Adam Wagner",""
"30","A heat standard would protect agricultural, other NC workers ...","<a href='https://www.newsobserver.com/news/state/north-carolina/article254582372.html' target='_blank'>Link to Article</a>","2021-09-29","www.newsobserver.com","North Carolina does not have specific rules outlining when it is too hot to work. The federal government is moving toward a heat standard.","Adam Wagner",""
"31","Environmental groups oppose utilities on House energy bill ...","<a href='https://www.newsobserver.com/news/politics-government/article252152198.html' target='_blank'>Link to Article</a>","2021-06-17","www.newsobserver.com","The energy legislation, which has been negotiated behind closed doors, requires Duke Energy to replace some coal plants with natural gas.","Adam Wagner",""
"32","NC Senate confirms Gov. Cooper's second pick to lead DEQ ...","<a href='https://www.newsobserver.com/news/politics-government/article253706003.html' target='_blank'>Link to Article</a>","2021-08-24","www.newsobserver.com","Elizabeth Biser is the first woman to serve as secretary of the N.C. Department of Environmental Quality.","Adam Wagner",""
"33","NC unveils energy legislation scaling back coal production | Raleigh ...","<a href='https://www.newsobserver.com/news/politics-government/article252128493.html' target='_blank'>Link to Article</a>","2021-06-15","www.newsobserver.com","Exclusive: North Carolina lawmakers released a draft of major energy legislation that has been hashed out behind closed doors with industry representatives, who stand to benefit from its passage.","Adam Wagner",""
"34","Environmental groups want NC to declare a climate emergency ...","<a href='https://www.newsobserver.com/news/politics-government/article255954072.html' target='_blank'>Link to Article</a>","2021-11-19","www.newsobserver.com","With parts of Eastern NC still recovering from devastating hurricanes, organizations want Cooper to prevent natural gas expansion.","Adam Wagner",""
"35","Businesses, Republicans help shape NC renewable energy policy ...","<a href='https://www.newsobserver.com/news/business/article256402301.html' target='_blank'>Link to Article</a>","2021-12-12","www.newsobserver.com","The annual event honored businesses and Republicans who have played a role in NC’s clean energy transition, with a focus on this year’s House Bill 951.","Adam Wagner",""
"36","Committee approves Cooper NC DEQ nominee Biser confirmation ...","<a href='https://www.newsobserver.com/news/politics-government/article253528794.html' target='_blank'>Link to Article</a>","2021-08-17","www.newsobserver.com","Elizabeth Biser is a longtime lobbyist who represented DEQ, as well as environmental clients. She touted a consensus-building approach.","Adam Wagner",""
"37","Durham Police ID victims of double homicide on I-85 ramp | Raleigh ...","<a href='https://www.newsobserver.com/news/local/crime/article252988328.html' target='_blank'>Link to Article</a>","2021-07-23","www.newsobserver.com","The victims of the shooting were two Durham men in their 20s.","Adam Wagner",""
"38","How did NC 12 highway get built in the Outer Banks? | Raleigh ...","<a href='https://www.newsobserver.com/news/state/north-carolina/article252948978.html' target='_blank'>Link to Article</a>","2021-08-05","www.newsobserver.com","NC Highway 12 runs the length of North Carolina’s Outer Banks. It started in 1933 as the vision of a real estate developer.","Adam Wagner",""
"39","NC environmental groups angry at EPA PFAS toxicity response ...","<a href='https://www.newsobserver.com/news/politics-government/article256924882.html' target='_blank'>Link to Article</a>","2021-12-30","www.newsobserver.com","The EPA says it will test many of the PFAS compounds NC groups asked it to in petition. So why are they calling its approach “tragic?”","Adam Wagner",""
"40","Coastal development endangers salt marshes vital to Southeast ...","<a href='https://www.shelbystar.com/story/news/2021/12/21/nc-sc-ga-coastal-development-marsh-erosion-sea-level-ocean/6449552001/' target='_blank'>Link to Article</a>",NA,"www.shelbystar.com","Booming development and limited government oversight have made the threat of sea level rise more menacing.","Adam Wagner",""
"41","DEQ to Chemours: Test Wilmington wells for GenX, other PFAS ...","<a href='https://www.newsobserver.com/news/politics-government/article255513036.html' target='_blank'>Link to Article</a>","2021-11-03","www.newsobserver.com","The NC Department of Environmental Quality said Chemours should prepare for a much stricter GenX health advisory level.","Adam Wagner",""
"42","Endangered red wolf protected on NC's Albemarle Peninsula ...","<a href='https://www.newsobserver.com/news/state/north-carolina/article255763456.html' target='_blank'>Link to Article</a>","2021-11-13","www.newsobserver.com","The U.S. Fish and Wildlife Service estimates the wild red wolf population on NC’s Albemarle Peninsula is 15 to 17 animals, down from 120 to 130 in 2006.","Adam Wagner",""
