"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"22","Georgia 'refilleries' are having a resurgence, helping customers cut ...","<a href='https://georgiarecorder.com/2022/05/05/georgia-refilleries-are-having-a-resurgence-helping-customers-cut-back-on-plastic/' target='_blank'>Link to Article</a>","2022-05-05","georgiarecorder.com","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. Outside a Savannah apartment building last Thursday, next to a food truck serving up po’boys sat a small box truck emblazoned with green leaves. Inside are wooden shelves of […]","Emily Jones",""
"23","Emory med school teaches health risks of climate change – WABE","<a href='https://www.wabe.org/emory-med-school-teaches-health-risks-of-climate-change/' target='_blank'>Link to Article</a>","2022-01-20","www.wabe.org","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. Emory School […]","Emily Jones",""
"24","Georgia lags in emission-cutting policies even as it lands major EV ...","<a href='https://www.albanyherald.com/news/georgia-lags-in-emission-cutting-policies-even-as-it-lands-major-ev-maker/article_5a444310-6272-11ec-be28-eb09f8559ea8.html' target='_blank'>Link to Article</a>",NA,"www.albanyherald.com","ATLANTA -- Electric truck manufacturer Rivian’s announcement last week that it would build a $5 billion plant in Georgia makes it the latest in a string of businesses promising green","Emily Jones",""
"25","The next frontier in medicine: Doctors with climate training | Grist","<a href='https://grist.org/health/the-next-frontier-in-medicine-doctors-with-climate-training/' target='_blank'>Link to Article</a>","2022-03-24","grist.org","Medical schools across the country are increasingly reckoning with the need to teach the intersection of climate change and health.","Emily Jones",""
"26","Why Georgia's climate policy experts are feeling hopeful in 2022 ...","<a href='https://www.wabe.org/why-georgias-climate-policy-experts-are-feeling-hopeful-in-2022/' target='_blank'>Link to Article</a>","2021-12-28","www.wabe.org","This coverage is made possible through a partnership with Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. Last year brought climate disasters to places around the country, grim climate predictions from scientists and, with the faltering of the Build Back Better Act, little environmental action from … Continued","Emily Jones",""
"27","Plant Vogtle co-owners sue Georgia Power over cost overruns ...","<a href='https://www.wabe.org/plant-vogtle-co-owners-sue-georgia-power-over-cost-overruns/' target='_blank'>Link to Article</a>","2022-06-21","www.wabe.org","Two of the co-owners of new nuclear reactors at Plant Vogtle have sued Georgia Power over their share of the mounting costs. The project is currently forecast to total $30 […]","Emily Jones",""
"29","Coastal Georgia communities prepare as sea level rise accelerates ...","<a href='https://www.wabe.org/georgia-coast-prepares-as-sea-level-rise-accelerates/' target='_blank'>Link to Article</a>","2022-02-16","www.wabe.org","Sea level rise is accelerating, according to a report released Tuesday by the National Oceanic and Atmospheric Administration. It finds coastal communities can expect more flooding and worse storm surges […]","Emily Jones",""
"32","The next frontier in medicine: Doctors with climate training - The ...","<a href='https://thecurrentga.org/2022/04/05/the-next-frontier-in-medicine-doctors-with-climate-training/' target='_blank'>Link to Article</a>","2022-04-05","thecurrentga.org","An increasingly warmer world needs doctors prepared to cope with its effects on human bodies.","Emily Jones",""
"34","As gas prices soar, advocates in Georgia promote other ways to get ...","<a href='https://www.wabe.org/as-gas-prices-soar-advocates-promote-other-ways-to-get-around/' target='_blank'>Link to Article</a>","2022-03-21","www.wabe.org","Amid persistently high gas prices, advocates in Georgia are highlighting other ways to get around: bikes, walking and public transit, which are not only cheaper but also friendlier to the […]","Emily Jones",""
"35","Hog invasions leave marshes vulnerable to climate change – WABE","<a href='https://www.wabe.org/hog-invasions-leave-marshes-vulnerable-to-climate-change/' target='_blank'>Link to Article</a>","2021-12-14","www.wabe.org","This coverage is made possible through a partnership with Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. Feral hogs are a persistent nuisance on the Georgia coast. For decades, wildlife managers have tried to keep them from destroying fragile sea turtle nests. And now, new research shows … Continued","Emily Jones",""
"36","Dashboard tracks emissions across Georgia - The Current","<a href='https://thecurrentga.org/2022/03/03/dashboard-tracks-emissions-across-georgia/' target='_blank'>Link to Article</a>","2022-03-03","thecurrentga.org","A new set of maps and data shows Georgians how much of the pollution that causes climate change is coming from the county and from where.","Emily Jones",""
"37","Hog invasions leave coast vulnerable to climate change - The Current","<a href='https://thecurrentga.org/2021/12/21/hog-invasions-leave-coast-vulnerable-to-climate-change/' target='_blank'>Link to Article</a>","2021-12-21","thecurrentga.org","The hogs’ impact is twofold. On their way to eat the mussels that keep marshes resilient, they trample areas where grass has started to grow, further stymying marsh recovery.","Emily Jones",""
"38","Scientists decry mining plan near Okefenokee – WABE","<a href='https://www.wabe.org/scientists-decry-mining-plan-near-okefenokee/' target='_blank'>Link to Article</a>","2021-12-01","www.wabe.org","This coverage is made possible through a partnership with Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. More than 40 scientists are speaking out against a plan to mine heavy minerals near the Okefenokee National Wildlife Refuge. The state Environmental Protection Division is considering permits to allow … Continued","Emily Jones",""
"39","The Heat Effect: How the climate is changing Georgia – WABE","<a href='https://www.wabe.org/the-heat-effect-how-the-climate-is-changing-georgia/' target='_blank'>Link to Article</a>","2022-07-22","www.wabe.org","The globe is baking this summer.  Temperature records are falling in North America, Europe, Africa and Asia, and it’s very likely that 2022 will end up being one of the […]","Emily Jones",""
"41","Georgia lawmakers move to block mine near Okefenokee Swamp ...","<a href='https://www.wabe.org/ga-lawmakers-move-to-block-mine-near-okefenokee/' target='_blank'>Link to Article</a>","2022-02-09","www.wabe.org","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. Georgia lawmakers […]","Emily Jones",""
"42","FAA grants license for commercial launch pad in Georgia – WABE","<a href='https://www.wabe.org/pantheon/faa-grants-license-for-commercial-launch-pad-in-georgia/' target='_blank'>Link to Article</a>","2021-12-20","www.wabe.org","A federal agency on Monday granted a license for a launchpad that would fly commercial rockets from coastal Georgia. The Federal Aviation Administration’s approval of a launch site operator license for Spaceport Camden marks a significant milestone for the Georgia space project, though many reviews and permits are needed before any rockets can actually launch. … Continued","Emily Jones",""
"43","Advocates call for faster climate action as Georgia Power hearings ...","<a href='https://www.wabe.org/advocates-call-for-faster-climate-action-as-georgia-power-hearings-begin/' target='_blank'>Link to Article</a>","2022-04-01","www.wabe.org","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. As long […]","Emily Jones",""
"45","Sea turtles begin nesting season in Georgia – WABE","<a href='https://www.wabe.org/sea-turtles-begin-nesting-season-in-georgia/' target='_blank'>Link to Article</a>","2022-05-05","www.wabe.org","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. Loggerhead sea […]","Emily Jones",""
"46","Push for Atlanta-Savannah rail line gains steam – WABE","<a href='https://www.wabe.org/push-for-atlanta-savannah-rail-line-gains-steam/' target='_blank'>Link to Article</a>","2022-03-11","www.wabe.org","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. The Georgia Department […]","Emily Jones",""
"47","EPA calls for lead pipe inventory, pledges further action – WABE","<a href='https://www.wabe.org/epa-calls-for-lead-pipe-inventory-pledges-further-action/' target='_blank'>Link to Article</a>","2021-12-16","www.wabe.org","This coverage is made possible through a partnership with Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. The federal government is ramping up efforts to find and replace lead pipes, and Atlanta is applying for a grant to do that work. The Environmental Protection Agency wants to … Continued","Emily Jones",""
"48","'Fly high, Sibley.' Wildlife community mourns death of bird ...","<a href='https://www.gpb.org/news/2022/01/06/fly-high-sibley-wildlife-community-mourns-death-of-bird-ambassador' target='_blank'>Link to Article</a>",NA,"www.gpb.org","Sibley, a beloved ruby-throated hummingbird ambassador at the Georgia Audubon, has died. The bird passed away just before the new year. His handler said despite their best efforts to replicate Sibley's natural habitat, his health slowly declined.","Emily Jones",""
"50","Regulators approve more solar, gas energy for Georgia Power ...","<a href='https://www.albanyherald.com/news/regulators-approve-more-solar-gas-energy-for-georgia-power/article_5554225e-0f8c-11ed-89a9-4bb5071a5c2f.html' target='_blank'>Link to Article</a>",NA,"www.albanyherald.com","ATLANTA — Georgia’s largest electric utility will add more solar power in the next five years but will get an equal amount of energy from climate-warming natural gas under a","Emily Jones",""
"52","Georgia residents adjust to the growing dangers from hurricanes ...","<a href='https://www.albanyherald.com/news/georgia-residents-adjust-to-the-growing-dangers-from-hurricanes/article_8f3bf988-d788-11ec-a8ef-0f181f6f466c.html' target='_blank'>Link to Article</a>",NA,"www.albanyherald.com","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future.","Emily Jones",""
"53","Toothless Gators, An End to Spraying - The Current","<a href='https://thecurrentga.org/today-from-the-current/toothless-gators-an-end-to-spraying/' target='_blank'>Link to Article</a>",NA,"thecurrentga.org","April 6, 2022 Coastal Georgia residents are at it again, demanding accountability from their county government in McIntosh and getting at least a listen.","Emily Jones",""
"55","Spate of officer-involved shootings in Savannah prompts internal ...","<a href='https://www.gpb.org/news/2022/04/14/spate-of-officer-involved-shootings-in-savannah-prompts-internal-review' target='_blank'>Link to Article</a>",NA,"www.gpb.org","The number of civilians killed in officer-involved shootings in 2022 has already risen to last year's total.","Emily Jones",""
"56","Georgia wildlife agency seeking reports of invasive lizards | Georgia ...","<a href='https://www.gpb.org/news/2022/04/11/georgia-wildlife-agency-seeking-reports-of-invasive-lizards' target='_blank'>Link to Article</a>",NA,"www.gpb.org","Georgia's wildlife agency is asking residents to report sightings of an invasive lizard that can pose a threat to native species. The Department of Natural Resources is trying to locate and remove South American tegus from Georgia before the lizards can thrive in greater numbers.","Emily Jones",""
